time	V(D,G)	V(a1)	V(l)	Ix(U1:G)
1.139928033789408e-02	-3.290562e+01	-3.936215e+01	-7.693809e-03	-1.143170e-05
1.139928321333723e-02	-3.290474e+01	-3.936134e+01	-7.705488e-03	-1.152709e-05
1.139928896422352e-02	-3.290154e+01	-3.935833e+01	-7.733062e-03	-1.185862e-05
1.139930046599610e-02	-3.288809e+01	-3.934553e+01	-7.822847e-03	-1.321465e-05
1.139932346954127e-02	-3.282580e+01	-3.928625e+01	-8.299030e-03	-1.936397e-05
1.139934331494790e-02	-3.270426e+01	-3.917094e+01	-9.373746e-03	-3.121700e-05
1.139935951880066e-02	-3.253118e+01	-3.900769e+01	-1.122999e-02	-4.794692e-05
1.139936204315167e-02	-3.249094e+01	-3.896974e+01	-1.165482e-02	-5.183145e-05
1.139936709185369e-02	-3.238156e+01	-3.886593e+01	-1.260001e-02	-6.244745e-05
1.139937718925773e-02	-3.208858e+01	-3.858810e+01	-1.517961e-02	-9.084561e-05
1.139938814442724e-02	-3.161868e+01	-3.814278e+01	-1.934749e-02	-1.363405e-04
1.139940172563433e-02	-3.071881e+01	-3.729077e+01	-2.735904e-02	-2.233533e-04
1.139941650474532e-02	-2.922661e+01	-3.588089e+01	-4.101135e-02	-3.673057e-04
1.139943203510377e-02	-2.696426e+01	-3.374981e+01	-6.227778e-02	-5.848670e-04
1.139944903201351e-02	-2.381231e+01	-3.079730e+01	-9.316937e-02	-8.862723e-04
1.139946905244286e-02	-1.973228e+01	-2.700553e+01	-1.320411e-01	-1.273346e-03
1.139947197764735e-02	-1.916489e+01	-2.648248e+01	-1.371903e-01	-1.326740e-03
1.139947782805633e-02	-1.820086e+01	-2.560250e+01	-1.467156e-01	-1.416581e-03
1.139948952887428e-02	-1.659551e+01	-2.415297e+01	-1.608581e-01	-1.564590e-03
1.139949207260303e-02	-1.632518e+01	-2.391324e+01	-1.629490e-01	-1.589070e-03
1.139949716006053e-02	-1.593860e+01	-2.358257e+01	-1.666082e-01	-1.622848e-03
1.139950733497553e-02	-1.537681e+01	-2.311806e+01	-1.713827e-01	-1.670321e-03
1.139951768452629e-02	-1.501358e+01	-2.282106e+01	-1.741030e-01	-1.700706e-03
1.139953134580283e-02	-1.474129e+01	-2.257656e+01	-1.764788e-01	-1.725816e-03
1.139955776410039e-02	-1.446950e+01	-2.231339e+01	-1.790678e-01	-1.752838e-03
1.139960795418536e-02	-1.429158e+01	-2.214268e+01	-1.808956e-01	-1.770537e-03
1.139977153902090e-02	-1.418710e+01	-2.204395e+01	-1.818781e-01	-1.781724e-03
1.149304336067644e-02	-1.418609e+01	-2.317245e+01	-2.339209e-01	-2.301005e-03
1.159304336067644e-02	-1.420023e+01	-2.440908e+01	-2.895483e-01	-2.855297e-03
1.171304336067644e-02	-1.421402e+01	-2.590188e+01	-3.560096e-01	-3.517519e-03
1.185304336067643e-02	-1.422726e+01	-2.764858e+01	-4.328688e-01	-4.283313e-03
1.201304336067642e-02	-1.423989e+01	-2.964025e+01	-5.194528e-01	-5.145966e-03
1.217304336067642e-02	-1.425062e+01	-3.161475e+01	-6.043401e-01	-5.991679e-03
