v1	V(a)	V(vcc)	I(R1)
2.810000000000000e+02	2.799046e+02	2.810000e+02	2.330599e-04
2.820000000000000e+02	2.809007e+02	2.820000e+02	2.338893e-04
2.830000000000000e+02	2.818968e+02	2.830000e+02	2.347187e-04
2.840000000000000e+02	2.828929e+02	2.840000e+02	2.355481e-04
2.850000000000000e+02	2.838890e+02	2.850000e+02	2.363775e-04
2.860000000000000e+02	2.848851e+02	2.860000e+02	2.372069e-04
2.870000000000000e+02	2.858812e+02	2.870000e+02	2.380363e-04
2.880000000000000e+02	2.868773e+02	2.880000e+02	2.388657e-04
2.890000000000000e+02	2.878734e+02	2.890000e+02	2.396951e-04
2.900000000000000e+02	2.888695e+02	2.900000e+02	2.405245e-04
2.910000000000000e+02	2.898656e+02	2.910000e+02	2.413539e-04
2.920000000000000e+02	2.908617e+02	2.920000e+02	2.421833e-04
2.930000000000000e+02	2.918578e+02	2.930000e+02	2.430127e-04
2.940000000000000e+02	2.928539e+02	2.940000e+02	2.438421e-04
2.950000000000000e+02	2.938500e+02	2.950000e+02	2.446715e-04
2.960000000000000e+02	2.948462e+02	2.960000e+02	2.455009e-04
2.970000000000000e+02	2.958423e+02	2.970000e+02	2.463303e-04
2.980000000000000e+02	2.968383e+02	2.980000e+02	2.471597e-04
2.990000000000000e+02	2.978344e+02	2.990000e+02	2.479891e-04
3.000000000000000e+02	2.988306e+02	3.000000e+02	2.488185e-04
3.010000000000000e+02	2.998267e+02	3.010000e+02	2.496479e-04
3.020000000000000e+02	3.008228e+02	3.020000e+02	2.504772e-04
3.030000000000000e+02	3.018188e+02	3.030000e+02	2.513066e-04
3.040000000000000e+02	3.028150e+02	3.040000e+02	2.521360e-04
3.050000000000000e+02	3.038111e+02	3.050000e+02	2.529654e-04
3.060000000000000e+02	3.048072e+02	3.060000e+02	2.537948e-04
3.070000000000000e+02	3.058033e+02	3.070000e+02	2.546242e-04
3.080000000000000e+02	3.067994e+02	3.080000e+02	2.554536e-04
3.090000000000000e+02	3.077955e+02	3.090000e+02	2.562830e-04
3.100000000000000e+02	3.087916e+02	3.100000e+02	2.571124e-04
3.110000000000000e+02	3.097877e+02	3.110000e+02	2.579418e-04
3.120000000000000e+02	3.107838e+02	3.120000e+02	2.587712e-04
3.130000000000000e+02	3.117799e+02	3.130000e+02	2.596006e-04
3.140000000000000e+02	3.127760e+02	3.140000e+02	2.604300e-04
3.150000000000000e+02	3.137721e+02	3.150000e+02	2.612594e-04
3.160000000000000e+02	3.147682e+02	3.160000e+02	2.620888e-04
